id,url
1245696,https://support.mozilla.org/questions/1245696
1246158,https://support.mozilla.org/questions/1246158
1246791,https://support.mozilla.org/questions/1246791
1247504,https://support.mozilla.org/questions/1247504
1247606,https://support.mozilla.org/questions/1247606
1247793,https://support.mozilla.org/questions/1247793
1247868,https://support.mozilla.org/questions/1247868
1249942,https://support.mozilla.org/questions/1249942
1250176,https://support.mozilla.org/questions/1250176
1250511,https://support.mozilla.org/questions/1250511
1251110,https://support.mozilla.org/questions/1251110
1251171,https://support.mozilla.org/questions/1251171
1251834,https://support.mozilla.org/questions/1251834
1252153,https://support.mozilla.org/questions/1252153
1252745,https://support.mozilla.org/questions/1252745
1252802,https://support.mozilla.org/questions/1252802
1253055,https://support.mozilla.org/questions/1253055
1253646,https://support.mozilla.org/questions/1253646
1254516,https://support.mozilla.org/questions/1254516
1254860,https://support.mozilla.org/questions/1254860
1255906,https://support.mozilla.org/questions/1255906
1256239,https://support.mozilla.org/questions/1256239
