id,created,title,content,tags,product,topic,firefoxversion,releaseweek,day
1216866,1525876845,How do I pick my own (most visited) sites?,"<p>How do I pick my own 'most visited' sites?  You pick the 'most visited' sites and they are NOT my 'most visited' sites because such sites as twitter and wikipedia both appear and in the 21 years I have owned a computer I have NEVER visited either of these trashy sites and I would never lower myself to visit such trash and I would never want anyone to think I would lower myself to visit such trashy sites.  Further, sites that I do visit each and every single day of my life such as Cambridge Dictionary do not appear on my most visited list and I find that equally offensive.  Clearly only idiots choose your 'most visited' list and I want this offense corrected, like...NOW!!!  Thank you.
</p><p>Juliet
</p>",other;firefox-590;desktop;mac-os;,firefox,other,60,1,1
1216899,1525849571,When Trying To Browse No Sites Come Up Just A Blank Page,"<p>I had some computer problems today and tried a new VPN program but it conflicted with my Majic Jack so I uninstalled it. My FF was working fine when I logged off but when I logged back on it won't bring up any pages, just blank. 
</p><p>I uninstalled and downloaded but I still can't get any web pages to load.
</p>",desktop;fix-problems;,firefox,fix-problems,60,1,1
1216900,1525852800,Can I use another resource instead of blocked in russia api.accounts.firefox.com?,"<p><a href=""http://api.accounts.firefox.com"" rel=""nofollow"">api.accounts.firefox.com</a> seems to be blocked in russia and it resulted in impossibility of signing in on Firefox Sync. Maybe there is any mirror of this resource?
</p>",sync;desktop;escalate;needsinfo;,firefox,sync,60,1,1
1216905,1525855497,Session-restore restored a very old session (2 weeks back) and overwrote the recovery.jsonlz4 and its backup; this system is despairingly unrobust,"<p>previous.jsonlz4 shows as modified more than 2 weeks ago, and that's it.
</p><p>I leave the computer on for long periods, upwards of 3 days at a time. Last night it was forcefully closed (that's on me, but it's irrelevant), and I opened Firefox as usual. Restored session and what do I see? Things I completed so long ago and none of my latest stuff.
</p><p>recovery.jsonlz4 and its bak show the current session, which is the previous session, according to FF's session storage, but is not _actually_ the previous session.
</p><p>I have it backed up, after a fashion, using Tab Session Manager, which doesn't restore vertical history of each tab (CAN'T, because of the new extensions API; frankly that's one part that I would've considered blocking the move entirely to WebExtensions as even before Quantum FF's session restore was entirely too hopeless without the session manager addon), I kinda need that history.
</p><p>So, is there even anything I can do? Or is it all done and I should just down-grade till a power fault doesn't lose me information that it perfectly had in check? (given the recovery files are being updated, even after the crash FF surely had the latest versions of those to work from)
</p>",firefox-600;other;beta;desktop;windows-10;needsinfo;,firefox,other,60,1,1
1216909,1525860385,Suddenly I can't listen to online radio sites,"<p>First I must tell you, even if it's not politically correct, then your support should be revised ASAP. The browser is awesome and I'm using it from its beginning (!), unfortunately your support is another story.. 
I've spent more then 5 hours of tryouts, before deciding to contact you here.
</p><p>Suddenly I can't listen to online radio sites. (YouTube works fine).
On Google Chrome any radio site works fine, so why not on the latest Firefox (59.03)?
</p>",other;desktop;escalate;,firefox,other,60,1,1
1216910,1525860976,"""Whoops! There was a problem loading this page"" for Gmail attachments","<p>Whenever I click on an attachment in gmail to preview it, it fails to load. For example, if I have a 4 page PDF attachment and I click on it to preview it, the 1st and 2nd page load, and on the rest two, there will the error message mentioned above. This problem started only in firefox 59, and the latest update also failed to fix it. I am not going to reinstall/delete recreate my profile on firefox as I have too much data and it is too much work for too little result. Might as well shift to another browser. I am looking for a simpler fix that does not need me to make drastic changes, like reinstalling my plugins/addons as I have very few. Any help is appreciated. Thank you.
</p>",firefox-590;desktop;fix-problems;windows-10;,firefox,fix-problems,60,1,1
1216912,1525861962,CloudFlare keeps repating browser check on Mozilla Firefox,"<p>I have trouble accessing some websites where is CloudFlare protection. It keeps repeating and repeating check of browser and it never ends. Example of website which don't work: https://ddlcmods.fun/ . My computer was completely reinstalled week ago to Windows 10 and Firefox is fresh too so there can't be problems with them. I was googling it and found that can be problem with time zones which I tried to change and no luck. Also something with DNS where I don't try because I'm afraid of doing something wrong. And I tried same website with Windows edge, there was no problem, it successfully passed check. I hope for fast response. Here is screenshot of problem below.
</p>",firefox-5903;other;firefox-590;desktop;windows-10;,firefox,other,60,1,1
1216913,1525863117,"When uploading a file the progress shows complete before the file has been uploaded, how can I solve this? Works 100% in Chrome","<p>I'm using Ajax for progress bar. The progressbar is showing complete before the file has completely uploaded. It works 100% in Chrome. The code to show progress is as follows: 
</p><p>function progressHandler(event,object) {
</p><pre>                                                                          percentcomplete = Math.round((event.loaded / event.total) * 100);
</pre>
<p>	                                                                   // This takes the value form the progress bar and gives the new value
</p><pre>                                                                          $("".progressbar"")..val (Math.round(percentcomplete));
                                                                          $("".percentupload"").text(percentcomplete + ""%"");
                                                                          ajax.progress = function() {
                                                                                                                               console.log('LOADING', ajax.status);
                                                                           };
</pre>
<pre>                                                                           ajax.load = function (){
                                                                                                                       console.log('DONE', ajax.status);
                                                                           };
}
</pre>",other;desktop;needsinfo;,firefox,other,60,1,1
1216918,1525866773,"Crashed again, all tabs lost","<p>Good day, my Firefox (fully up-to-date) crashed quite a few times in recent weeks. This time All my tabs are Lost. I had about 120 open. I closed Firefox before I wanted to shut down the PC (Windows 10 with April 2018 update) and get a Firefox crash notification. As per usual, I click restore and all my tabs came up! Closed Firefox again - no notifications.
This morning, when I opened Firefox, I got 3 tabs - Google Mail sign in, Facebook sign in and an empty tab.
I read up on the issue everywhere (using Chrome!!) and then Mozilla support. I was directed to 2 posts. The one did not apply to me and the other one was so technically demanding that a person with average computer knowledge simply could not follow that to and fro.
So now, how do I get my tabs back?  I had gone to sessionstore-backups and only found 2 entries: see attached image, both are from today, Not yesterday!
I am stumped
Regards
</p><p>Clicked on Automatically add Trouble shooting information - see second image!
Thank you
</p>",desktop;fix-problems;,firefox,fix-problems,60,1,1
1216922,1525867892,Websites become unresponsive but can still be scrolled through and the hand cursor appears all the time,"<p>In the past weeks, suddenly my Firefox started behaving really weird - a few times a day the currently opened tab becomes unresponsive (you can't click or hover anything) but you can still scroll through them (at least a bit - after that point, it's just plain white). At these times, the cursor is the hand one, during the whole unresponsiveness episode, as if everything was clickable (though obviously clicking does nothing). You also can't close the tab during this tab - the only way is either to wait a good 30 seconds for it to unfreeze or to change to a different tab and close the unresponsive one. When you do change tabs, though, the newly opened tab sometimes disappears completely, with a radial loading circle appearing in the middle of the screen for a few seconds before it magically reappears (it does _not_ reload, though!). From what I've been able to observe, this tends to appear on content-heavy websites like Reddit, Facebook and YouTube most often.
</p><p>What is happening? I haven't changed my browsing habits in the past weeks, nor have I installed any new add-ons. I've tried disabling the ones I have but it's still happening with them turned off. What else may I try?
</p>",firefox-590;desktop;fix-problems;windows-7;slowness-and-hanging;escalate;bug_1;,firefox,fix-problems,60,1,1
1216923,1525868020,Is Firefox obsessed with security? Rules for SSL_ERROR_BAD_CERT_DOMAIN error are too rigid,"<p>When I open a site, I receive a ""SSL_ERROR_BAD_CERT_DOMAIN"" error. This is because the site recently changed their domain.
</p><p>However, there is no option to add an exception after clicking ""Advanced"" and go to the site. Edge browser allows me to still visit the page, but doesn't recommend it. And Firefox just blocks the site.
</p><p>There should always be an option for a user to visit any site regardless of security errors.
</p>",privacy-and-security_1;firefox-590;desktop;windows-10;certificates;,firefox,privacy-and-security,60,1,1
1216925,1525869220,Firefox crashes,"<p>Hi all,
</p><p>I guess I'm not the only one who has this problem... Since the latest Firefox update to the 59.0.2 version I can no longer load the <a href=""http://outlook.com"" rel=""nofollow"">outlook.com</a> page on my I-Mac with OS 10.9.5, altough I have no problem to do it on the Mac book air...?? What it does when I try to open or refresh the <a href=""http://outlook.com"" rel=""nofollow"">outlook.com</a> page is that it begins to load, enough so I see my new emails but the page crashes before I even can open a mail, the ads on the right don't have the time to load either. I tried the workaround by editing the stylo parameters but it doesn't change a thing. And of course I tried to restart everything quite a few times. I'm sending several crash reports a day but to my surprise it appears Mozilla haven't come back with a fix for that after a week. Does anybody have a clue of how making it work whitout having to restore Firefox's previous version?
</p><p>Thanks!
</p>",fix-problems;firefox-590;desktop;firefox-5902;mac-os-x-109;needsinfo;,firefox,fix-problems,60,1,1
1216926,1525870025,"No ""places.sqlite"" file in my FF profile","<p>Hi everyone,
</p><p>Unfortunately, a malware destroyed (i.e. deleted) 80% of the content of my Program Files (on my D: drive), including the required files to Firefox to function properly, so it is not opening at all (each time I try to open FF, I get a ""missing XPCOM"" error message).
</p><p>I started to back-up my files, which include the bookmarks of FF, among others. So, here is my issue. 
</p><p>I don't have any ""places.sqlite"" file in my FF profile in the APPDATA%\Mozilla\Firefox\Profiles\ profile.default (my user folder is on my SSD drive c: with my OS, and this drive have not been infected so far).
</p><p>On the other hand, I have a ""places.sqlite"" file in my Thunderbird profile.
</p><p>- So, it is normal that I don't have the bookmark file in my FF profile? 
</p><p>- Does the FF places.sqlite is the same one than the Thunderbird one (which could explain why I don't have that file in my FF profile)?
</p><p>- If I'm just copy/paste the whole FF profile folder, do I'll get back my bookmark automatically?
</p><p>Thanks for your help folks!
</p><p>Regards
</p><p>EDIT: to avoid the question, yes I can see hidden files and folders (option is already check marked).
</p>",bookmarks;desktop;,firefox,bookmarks,60,1,1
1216930,1525872451,Ability to create unloaded tabs by chrome.tabs.create,"<p>As question says:
</p><p>Ability to create discarded tabs (unloaded). Tabs should find favicon from cached url if available. If not, use just default favicon.
Also there should be a parameter for titles, an array with titles should match the url length.
</p><p>In case of windows.create, first tab should be loaded, as usual.
chrome.windows.create({url: [], title: [], discarded: true}, function(window) {});
chrome.tabs.create({url: ""your url here"", title: ""your title here"", discarded: true}, function(tab) {});
</p>",tabs;firefox-610;beta;desktop;windows-7;,firefox,tabs,60,1,1
